"meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
0.170511783905731,0.0636706220250921,0.186804580716661,0.122053934244551,0.220834872552641,0.0987809383080901,2.39657508943175,12.0898343443023,0.937437930510589,0.543680378108407,0.12453638714444,0.170511783905731,0.114981686977727,0.0470127326150832,0.27906976744186,0.778443567961165,0,11.0625,11.0625,0.062824282255275,"mm"
0.177548089153702,0.0607745807783017,0.167152563310686,0.126596664607783,0.235812229771464,0.109215565163681,1.96245815300169,8.14452769199099,0.932812628523083,0.461833151507886,0.125991352686844,0.177548089153702,0.128705443474348,0.0469667318982388,0.27906976744186,0.550904605263158,0,9.703125,9.703125,0.0436420207975109,"mm"
0.160196443027555,0.0683423925547012,0.162793209876543,0.107916666666667,0.210864197530864,0.102947530864198,1.17239776992522,4.50981580177989,0.967750047871847,0.731251257491143,0.104135802469136,0.160196443027555,0.11899042268269,0.0471512770137525,0.277456647398844,0.945039335664336,0,5.34375,5.34375,0.138854889160887,"mm"
0.166547353784297,0.06022127746268,0.155462268865567,0.118100949525237,0.220529735132434,0.102428785607196,1.21702596620465,4.63861846522715,0.951109836354577,0.585721260026379,0.110824587706147,0.166547353784297,0.11250335207528,0.0471512770137525,0.277456647398844,0.475091911764706,0,5.0859375,5.0859375,0.0849326255614537,"mm"
0.184792363141627,0.0592981895051588,0.171624595469256,0.136375404530744,0.241216828478964,0.10484142394822,1.63651609243683,6.28578163058118,0.934625697493481,0.462980045815631,0.133747572815534,0.184792363141627,0.116556873420896,0.0471512770137525,0.27906976744186,0.794486464968153,0,15.3515625,15.3515625,0.0504974993419321,"mm"
0.170830289865306,0.0577552609727846,0.161360727517683,0.128258672953857,0.223132367800606,0.0948736948467498,1.99629724145376,8.76198802838477,0.941149279266087,0.532110630593723,0.13014482990906,0.170830289865306,0.124363802503766,0.0474308300395257,0.27906976744186,0.434163851351351,0,6.421875,6.421875,0.0480781401628623,"mm"
0.169068250771099,0.0566913672245029,0.167806841046278,0.126841046277666,0.211830985915493,0.084989939637827,2.34080705070268,12.1855023245123,0.943290522563711,0.521896447751146,0.13158953722334,0.169068250771099,0.118533452212188,0.0470127326150832,0.277456647398844,0.465755208333333,0,6.8203125,6.8203125,0.0680072971023716,"mm"
0.156882502670959,0.0687604968891056,0.154139402560455,0.101830251303936,0.214812707444286,0.112982456140351,1.44953249469324,5.48032398244016,0.957300347218397,0.666403395107558,0.150953058321479,0.156882502670959,0.11569493988967,0.0470588235294118,0.27906976744186,1.46940104166667,0,11.296875,11.296875,0.0831724251263301,"mm"
0.200744103794928,0.0498094014793489,0.201352405721717,0.168309492847854,0.241768530559168,0.0734590377113134,1.21036629063611,4.35710310809597,0.930601329831544,0.37191659114062,0.19816644993498,0.200744103794928,0.12524373121705,0.0472906403940887,0.277456647398844,1.19669117647059,0,20.203125,20.203125,0.0444417906373686,"mm"
0.1840307665882,0.0563408332762992,0.183098591549296,0.145802816901408,0.231774647887324,0.0859718309859155,1.17732728320197,4.36721240973802,0.940924175315516,0.459885278421699,0.149859154929577,0.1840307665882,0.129048396713021,0.0470588235294118,0.27906976744186,1.0576171875,0,10.546875,10.546875,0.0733756613756614,"mm"
