meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.063422942,0.087074224,0.007579859,0.002728749,0.104602057,0.101873308,8.954578732,95.92902257,0.800968394,0.367898044,0.002122361,0.063422942,0.126794818,0.047012733,0.279069767,0.891129032,0,5.0625,5.0625,0.173025435,male
0.051381351,0.070809293,0.015082873,0.006961326,0.065745856,0.05878453,6.92645606,59.85512684,0.814583821,0.351987956,0.003867403,0.051381351,0.126096526,0.047151277,0.279069767,0.034957627,0,1.3125,1.3125,0.052955665,male
0.055343592,0.073134152,0.016736243,0.008766603,0.082352941,0.073586338,5.106450006,32.33486322,0.843203794,0.398839649,0.009829222,0.055343592,0.130993284,0.046920821,0.279069767,0.06796875,0,1.4296875,1.4296875,0.060546448,male
0.077603513,0.081283789,0.024215116,0.011802326,0.162180233,0.150377907,4.337478687,24.28431163,0.868735949,0.440271511,0.00875,0.077603513,0.127476652,0.046966732,0.279069767,0.100084459,0,0.7265625,0.7265625,0.146041056,male
0.078072729,0.08993495,0.027888446,0.018517928,0.121593625,0.103075697,2.90597731,10.80432198,0.86899868,0.364385451,0.017179283,0.078072729,0.17849008,0.050579557,0.274285714,2.359151786,0,13.0078125,13.0078125,0.135649936,female
0.084027974,0.09213638,0.029958848,0.017975309,0.182748971,0.164773663,3.35284906,14.90796149,0.879203023,0.430286299,0.016131687,0.084027974,0.167806335,0.04719764,0.275862069,1.702320772,0,18.84375,18.84375,0.099068151,female
0.072534839,0.06626807,0.046021505,0.023225806,0.10688172,0.083655914,2.471626145,9.392742307,0.917604351,0.536051423,0.035483871,0.072534839,0.10718797,0.046966732,0.279069767,0.049378034,0,0.7265625,0.7265625,0.083278473,male
0.073988308,0.058538563,0.047785388,0.041232877,0.07847032,0.037237443,4.015974918,20.82636869,0.859734247,0.371262462,0.043150685,0.073988308,0.121349612,0.047105005,0.277456647,1.101888021,0,7.0078125,7.0078125,0.09416806,male
0.081774083,0.078621147,0.049111242,0.016645085,0.133490288,0.116845203,2.854479483,12.55092684,0.932574122,0.605966477,0.003955268,0.081774083,0.126443628,0.046920821,0.275862069,0.584280303,0,14.0625,14.0625,0.053071161,male
0.091298112,0.089293722,0.052724359,0.020641026,0.144487179,0.123846154,2.554570908,10.74489771,0.932430732,0.590367312,0.01099359,0.091298112,0.125155637,0.046920821,0.274285714,0.142351974,0,1.9453125,1.9453125,0.070324777,female
0.076565193,0.069526836,0.053166572,0.018624218,0.11652075,0.097896532,2.67654117,11.70023411,0.932141889,0.564600519,0.002069358,0.076565193,0.155447699,0.052287582,0.277456647,1.250614466,0,10.7109375,10.7109375,0.119933312,female
0.089076283,0.084430194,0.053562546,0.01874177,0.149831748,0.131089978,3.347214371,16.97092586,0.941268088,0.640693185,0.013621068,0.089076283,0.147336967,0.04729064,0.279069767,0.427623821,0,5.3671875,5.3671875,0.072321294,female
0.084850507,0.081431799,0.054901961,0.012444444,0.140915033,0.128470588,4.17829051,23.97931296,0.915175743,0.600933129,0.006222222,0.084850507,0.119681681,0.046920821,0.274285714,0.040104167,0,0.46875,0.46875,0.06744186,male
